input,output,field,paper_name
根据表4.3所示，不同工况下的裂缝扩展过程中，破坏形式主要表现为拉伸破坏，这与本文第三章的研究发现相一致。特殊情况包括，当裂缝相交时，初始损伤主要以剪切破坏的方式发生；而在高应力差工况下，裂缝偏转所导致的初始损伤也主要以剪切破坏为主。此外，在高应力差和大天然裂缝预制角的联合作用下，穿透现象往往伴随着剪切与拉伸混合破坏的形式出现。总体而言，在大天然裂缝预制角的条件下，直接穿透天然裂缝的现象较为常见；在15°和45°的预制角下，剪切破坏沿天然裂缝扩展的现象较为普遍。随着水平地应力差的增加，剪切破坏的起裂方式愈发显著。,"由表 4.3 可以看出，不同工况下的裂缝扩展过程中的破坏形式均以拉伸为主, 这与本文第三章的研究发现是一致的，特殊情况如裂缝相交时多以剪切破坏为主的方式进行天然裂缝的初始损伤，高应力差工况下的裂缝偏转以剪切破坏进行初始损伤，高应力差工况下、大天然裂缝预制角下的穿透现象容易出现剪切拉伸混合破坏的方式进行起裂。总而言之，大天然裂缝预制角下容易发生直接穿透天然裂缝的现象,15°及 45°下容易出现剪切沿天然裂缝扩展的现象，而随着水平地应力差的增大，容易出现剪切破坏的起裂方式。",工程,Shale Hydraulic Fracturing Study
与W8-3类似，因在跨中设置了剪力墙，不同墙胶布置方式使得转换梁的受力状态不再局限于简单的偏拉应力。在水平荷载作用下，墙肢下方及洞口周边的转换梁承受较为复杂的应力状态，拉应力区和压应力区会交替出现。因此，初始裂缝形式通常表现为垂直裂缝。,"和 W8-3 相近，不过由于跨中布置了剪力墙，不同的墙胶布置方式，使转换梁不再是简单的受偏拉作用。在水平作用下，墙肢下和洞口下的转换梁受力较为复杂, 受拉区和受压区交替。所以先出现的开裂裂缝为垂直裂缝。",工学,基于有限元分析的短肢剪力墙加腋梁式转换结构抗震试验研究
在前两节实验中，我们执行了两段小型DNA序列及一段大型DNA序列的敲除操作，同时引入了一个基因的点突变。尽管这些操作未能实现无痕敲除的目的，但值得注意的是，质粒pLS3025B和pLS3026B携带了由无水四环素诱导表达的I-SceI酶。然而，在第一节实验中未能观察到neo抗性基因的成功敲除。因此，在后续的实验中，我们通过构建不同的载体体系，并使用不同的诱导剂来促进I-SceI酶的表达，同时利用密码子优化技术表达了o-I-SceI酶，进一步开展了neo抗性基因的敲除实验，以期达成更高的实验目标。,"前两节中进行了两个小片段及一个大片段的敲除，还有一个基因的点突变, 这些并未达到实验的最终目的 -- 无痕敲除，质粒 pLS3025B 及 pLS3026B 中本身含有无水四环素诱导表达的 I-SceI 酶，但在第一节进行实验的过程中，并未能实现 neo 抗性基因的敲除，所以，此节实验中通过构建不同载体，不同诱导剂诱导表达 I-SceI 酶以及经密码子优化后表达 o-I-SceI 酶的质粒进行 neo 抗性基因敲除实验。",生物,重组工程法敲除恶臭假单胞菌KT2440和谷氨酸棒状杆菌ATCC13032染色体基因
追溯 Tabata 训练方法的起源，前日本速度滑冰国家队主教练平泽浩一在为运动员安排20秒高强度运动与10秒间歇的间歇训练后，观察到运动员的表现得到了显著提升。1996年，-tabata教授对其训练方法的实用性和科学基础进行了系统验证。经过进一步的实践与分析，Tabata 训练方法被正式定型为：每组包括20秒的高强度运动与10秒的间歇，全程共进行8组，总计4分钟的高强度间歇运动。,"追溯 Tabata 训练方法的起源，前日本速度滑冰国家队主教练 Irisawa Koichi 安排运动员以 20s 运动 10s 间歇的形式进行间歇训练后，发现运动员的运动表现有所提高。1996年 Izumi Tabata 教授对这种训练方法的实用性和科学性进行了论证。在不断的实践过程中,Tabata 训练方法被总结为:20s 做功 10s 间歇为一组, 累计 8 组共计 4min 的高强度间歇运动〔〕。",教育学,以专项动作进行Tabata训练方法对跆拳道男子运动员无氧功率的影响
"与P相比，Si在GR1(CO3²)的转化过程中展现出不同的作用机制。在Si浓度较低的条件下（Fe/Si > 12），GR1(CO3²)主要通过DOP机制迅速转化为针铁矿。而在Si浓度较高的情况下（Fe/Si = 3），GR1(CO3²)则通过SSO机制缓慢生成高铁矿绿锈。随着Fe/Si比值从∞降低到12，针铁矿的生成速率、结晶度及颗粒尺寸均呈现逐渐下降的趋势（参见图8-7a及图8-8(a-c)）。当Fe与阴离子的摩尔比相对较高时，吸附的阴离子不足以提供充分的稳定性以维持GR1(CO3²)的结构，导致其向纤铁矿和针铁矿的转变。在Si的存在下，针铁矿的形成更为有利；而P的存在则倾向于促进纤铁矿的形成。这一现象可能归因于Si体系中较高浓度的游离Fe²⁺。鉴于针铁矿相较于纤铁矿具有更高的热稳定性（Navrotsky等, 2008），Fe²⁺在纤铁矿向针铁矿转化的过程中发挥着显著的催化作用（Boland等, 2014a）。Si具有较强的聚合能力（Swedlund等, 2009a, 2010），在pH 7.8时，主要以电中性的H₂SiO₃形态存在（ρKαl ≡ 9.8，Swedlund等, 2010），这使得Si与Fe²⁺的配位能力相对较弱。因此，在低Si浓度情况下，更多的游离Fe²⁺迅速催化无定形相似于纤铁矿的中间相向针铁矿转变，转化过程与空白体系类似。因此，低Si浓度体系中GR1(CO3²)的氧化途径可由反应式4和5描述。相比之下，在P存在的情况下，P在pH 7.8时主要以HPO₄⁻形式存在，并伴有少量H₂PO₄⁻和PO₄³⁻（Antelo等, 2010）。鉴于其负电荷特性，P表现出强烈的Lewis碱特征（Lewis, 1938）。因此，大多数Fe²⁺倾向于与HPO₄⁻配位，从而抑制了游离Fe²⁺的催化活性。这一机制可能解释了为何在低P浓度下，GR1(CO3²)倾向于转化为纤铁矿（式4）。","与 P 相比,Si 在 GR1(CO3²)转化过程中表现出不同的作用。在低 Si 浓度时(Fe/Si > 12)GR1(CO₂²)通过 DOP 机制较快的转化为针铁矿:在较高 Si 浓度时(Fe/Si = 3 ),GR1(CO₂²)通过通过 SSO 机制缓慢的生成高铁矿绿锈。当 Fe/Si 比从∞减小 12 时，针铁矿的形成速率，结晶度和颗粒尺寸均逐渐减小(图 8-7a 和图 8-8(a-c)) 如上所述，当 Fe/阴离子比较高时，吸附的阴离子不足以稳定 GR1(CO₂²)的结构，因而 GR1(CO₂²)向纤铁矿和针铁矿转化。Si 存在时有利于于针铁矿形成，而 P 存在时有利于纤铁矿形成，这可能是由于 Si 体系中更高的自由 Fe²*含量。由于针铁矿比纤铁矿有更高的热稳定性 (Navrotsky et al., 2008),Fe²*将会催化纤铁矿向针铁矿的转化 (Boland et al., 2014a)。Si 有很强的聚合能力(Swedlund et al., 2009a, 2010),在 pH 7.8 时主要以电中性的 H₂SiO₃形态存在(ρKαl ≡9.8,(Swedlund et al., 2010)),这使得 Si 与 Fe²*的配位能力更弱。因而，更多的自由 Fe2*将快速催化无定形的类似纤铁矿的中间相向针铁矿转化，与空白体系相似。因此，低浓度 Si 体系中,GR1(CO₂²)的可能氧化途径可通过反应式 4 和 5 进行描述。对于 P 体系,P 在 pH7.8 时主要以 HPO2-形式存在，也存在少量 H2PO4和 PO42(Antelo et al., 2010),由于其负电荷特性 P 表现出很强的 Lewis 碱特性(Lewis、1938)。因此，大多数 Fe²与 HPO4-配位，抑制了 Fe²*的催化活性。这可能解释了为什么低 P 浓度时 GR1(CO3²)转化生成纤铁矿(式 4)。",化学,Iron Oxide Properties
在场中，笔者目睹了这样一幕：一位女性同学突然对她的女同桌施加了暴力，具体表现为用力击打了同桌的面部，这一行为并未止住她的行为动机，她随即进一步用黑色的水性笔在同桌的白色校服上进行涂鸦。面对这一侵犯行为，受害的女同学并未表现出任何抵抗的行为，她只是默默地注视着施暴者，眼中流露出的是深重的厌恶与无辜的委屈。这一场景令笔者内心感到极度不安，产生强烈的想要干预的冲动，然而，考虑到此举可能会打断正在上课的张老师的授课，幸而施暴者罗强不久后厌倦了这种行为，自行终止了这场欺凌事件。,力打了一下他的女同桌，还不觉得过瘾，继续用黑色水性笔去画同桌的白色校服，女同桌并不敢反抗，只是看了看她，眼神充满了厌恶和委屈。笔者看到眼前的情景，心理觉得非常不愉快，很想去干涉，但是碍于担心打扰到张老师上课，所幸罗强很快觉得没意思就停止了欺负。,教育学,乡村小学“边缘”学生困境研究——对广西一所村小“边缘”学生的个案研究
据预测，市场规模将达到约18亿美元[7³]。相关数据显示，我国每年新增脑卒中患者约246万人，且以8.7%的速度递增，这些患者普遍伴有不同程度的肢体运动功能障碍。然而，我国的医疗康复产业尚处于起步阶段。由此看来，当前我国医疗康复领域存在一对显著矛盾：市场规模庞大与产业规模较小、资金投入不足。鉴于此背景，加快柔性外骨骼服的研发对于促进这些患者进行肢体康复运动至关重要。而在军事领域，随着对战士机动性能期望的提升以及维持长时间作战能力需求的增加，迫切需要开发一种轻质高强、柔顺性优良的柔性外骨骼服以辅助战士行动。  柔性外骨骼服融合了电气、机械、电子、材料科学及纺织等多个学科的先进技术，形成了具有高度科技含量和人机协同性能的新产品。这种装备使得战士穿戴起来如同穿衣物般自然舒适，能够在战场运动作战过程中减轻他们的肌肉疲劳，并显著提高灵活性和机动性。因此，在军事科技快速发展和社会老龄化趋势加剧的背景下，开发能够辅助老年人或脑卒中患者进行日常锻炼乃至增强士兵战场行动能力的外骨骼装置已经成为当前急需解决的重要问题。,"阔，市场规模将达到约 18 亿美元顷。资料显示[7³],我国每年大约增加 246 万脑卒中的患者，并且增长速度约为 8.7%,这些患者存在着不同程度的肢体运动功能障碍，然而我国的医疗康复产业却处于发展初期的阶段。由此可见，我国医疗康复产业存在着一对矛盾，即巨大的柔细外骨骼服市场与产业规模小、资金体量小的矛盾，依托医疗康复的背景，通过加快对柔性外骨骼服的研制，进而使患者能够进行肢体康复运动。以军事为背景，为了能够战士的机动性能，达到持久战斗的目的，亟待研究一种能辅助战士行走且轻质高强、柔顺性好的柔性外骨骼服。 柔性外骨骼服通过融合各个领域的高新技术，例如，电气、机械、电子、材料及纺织等领域，成为了一种具有科技含量的新式产品，极大地提高了人机协同性能, 使战士与柔性外骨骼服之间的作用就像人穿衣服般轻松舒服，柔性外骨骼服既能减轻战士战场运动作战时的肌肉疲劳，还能显著提升他们的灵活性和机动性。因此，随着军事科技的快速发展以及社会老龄化速度加快，能够辅助老年人或脑卒中患者进行锻炼，甚至为士兵助力行走的外骨骼产品亟待深入研发。",工学,柔性可穿戴助力行走套装的设计与制备
"This study provides an overview of the background, significance, and current state of harmonic research both domestically and internationally. It offers a concise explanation of harmonic definitions, their effects, and causation. The article also compares the principles, benefits, and drawbacks of prevalent harmonic parameter estimation techniques, ultimately opting for the Fast Fourier Transform (FFT) as the methodology for harmonic detection in this research. The primary focus of this paper is to investigate the adverse effects of various windowing and interpolation methods, as proposed by domestic and international scholars, on spectral leakage and the resolution limit, and to assess their influence on enhancing the accuracy of signal parameter estimation.","(1) The background of harmonic research, the significance of harmonic research and its current status at home and abroad are introduced. The harmonics of definition, harm, and cause are briefly explained, the principles of common harmonic parameter estimation methods and their advantages and disadvantages are compared, and the fast Fourier transform is selected as the research method of harmonic detection in this paper. This article focuses on the extent to which the different windowing and interpolation methods proposed by scholars at home and abroad have a negative impact on reducing spectral leakage and barrier effects, as well as their improvement in the accuracy of signal parameter estimation.",物理,基于快速傅里叶变换的高精度谐波参数估计方法的研究
在小鼠子宫内膜中条件性敲除 Dnmt3a 后，早期妊娠小鼠子宫内膜的受容性并未表现出显著差异。肉眼观察显示，相较于对照组，孕 D4 天条件性敲除 (cKO) 组小鼠的胚胎着床点数目没有明显变化。Western Blot 及免疫组化检测结果表明，cKO 组小鼠子宫内膜与受容性相关的基因 ERa、MUC1 及 PR 的表达水平与对照组相比并无显著性差异。,"3. 小鼠子宫内膜 Dnmt3a 条件性敲除后早孕小鼠子宫内膜容受性无显著改变:肉眼观察发现，与对照组相比，孕 D4 天 cKO 组小鼠的胚胎着床点数量无明显改变;Western Blot 和免疫组化结果显示，与对照组相比,cKO 小鼠子宫内膜容受性相关基因 ERa、MUC1、PR 的表达无明显改变。",生物,子宫内膜Dnmt3a条件性敲除对围着床期早孕小鼠子宫内膜功能的影响
"与Equilibrium模型相比，Rate-based模型通过质量和能量传递速率来决定塔板或填料上的两相接触，该模型充分考虑了反应的热力学和动力学特性，传递速率受到浓度、温度、流量和物质特性的共同影响，因此更符合实际过程[65, 60]。表2.2中提到的反应2-4至2-7的动力学反应方程所涉及的反应速率r，可以通过公式2-8进行计算。","Rate-based 模型相比于 Equilibrium 模型而言，由质量和能量传递速率决定塔板或填料上两相的接触，充分考虑了反应热力学和动力学，传递速率受浓度、温度、流量和物性的影响，因而更接近于实际过程[65,60。表 2.2 中反应 2-4 至 2-7 的动力学反应方程所涉及的反应速率 r 可以通过公式 2-8 进行计算:",化学,CO2 Chemical Absorption Process Optimization
双向加载试验在Zwick Z050型双轴力学试验机上对十字试样进行了测试。图3-12展示了双轴拉伸实验的具体细节。为了满足数字图像相关性（DIC）方法对特征点的要求，首先在试样的上表面喷涂了一层黑色涂层，随后利用毛刷随机散布白色的特征斑点，以确保形成高对比度的散斑图案，如图3-12（b）所示。此外，实验采用了环形LED灯作为均匀光源，配备的一只穿环CCD相机以每秒一帧的频率记录测量标距区的散斑图像。至于试样的反面，一个有机玻璃（PMMA）楔块上安装了六个压电超声波换能器，用于激励试样近表面的低相干瑞利（LCR）波，这一体现见于图3-12（c）。为了提高超声波在二者界面的耦合效率并实现紧密贴合，在楔块与试样接触的界面上涂抹了一层由水性凝胶组成的耦合剂，并使用橡皮筋将楔块牢固地固定在试样表面。,十字试样的双向加载试验在 Zwick Z050 型双轴力学试验机上进行。图 3-12 为十字试样的双轴拉伸实验细节。为满足 DIC 方法所需的特征点需求，试样的上表面首先喷涂黑色涂层，然后使用毛刷随机溅射上白色斑点，这样可以得到对比度很高的特征散斑，散斑形貌如图 3-12(b)所示。另外使用环形 LED 灯来为实验提供均匀的照明，一个穿过环形灯的 CCD 相机以每秒钟 1 帧的采集频率来捕捉测量标距区的散斑图案。在试样的另一面，一个装有 6个压电超声波探头的有机玻璃(PMMA)楔块用来在试样近表面激发 LCR 波，如图 3-12(c)所示。为确保超声波在界面处良好的耦合效果和紧密贴合，在楔块与试样表面涂抹一层成分为水性凝胶的耦合剂，另外使用橡皮筋将楔块紧密固定在试样表面。,工学,复合材料结构的超声应力无损检测技术研究
本研究中夏季的采样活动分别于2014年6月15日至7月15日以及2015年7月6日至8月4日进行；秋季采样则在2014年9月15日至10月15日及2015年9月22日至10月21日期间展开；冬季采样活动选择2014年12月29日至2015年1月24日和2015年12月16日至2016年1月14日作为样本收集时间段；春季采样的时间范围为2015年3月20日至4月19日以及2016年3月21日至4月19日。表3-1详列了各采样时段内记录的温度、湿度、风速、压强及降水量等参数数据，从中可见，本研究选取的样本采集时间点能够代表相应季节的特点。,"本研究中夏季的采样时间为 2014 年 6 月 15 日~7 月 15 日和 2015 年 7 月 6 日~8 月 4 日;秋季的采样时间为 2014年 9 月 15 日~10 月 15 日和 2015年 9 月 22 日~10 月 21 日; 冬季的采样时间为 2014 年 12 月 29 日~2015 年 1 月 24 日和 2015 年 12 月 16 日~2016年1月14日;春季的采样时间为 2015年3月20日~4月19日和 2016 年 3 月 21 日~4 月 19 日，各采样时段的温度、湿度、风速、压强和降水的参数详见表 3-1, 可以看出本研究中所选择的采样时段可以代表相应季节。",物化生,北京大气细颗粒物的化学组成特征及来源解析
