input,output,field,paper_name
近年来，轨道交通工程建设中频发的各类施工安全事故不仅对人民生活和经济发展造成了严重影响，还威胁了社会稳定和公共安全。例如，2013年1月2日，南宁在建地铁污水管线迁改工程发生塌方事故，导致2人死亡；2015年7月26日，因万科广场工地南侧基坑支护坍塌，导致禅城区季华五路万科广场工地一侧辅道出现塌陷，事故虽然未造成人员伤亡，但仍造成了205万元的直接经济损失；2017年5月11日，位于福田区绒花路的深圳市轨道交通工程3号线三期南延工程3131标基坑发生一起土方坍塌事故，造成3人死亡、1人受伤，直接经济损失达345万元。这些事故凸显了轨道交通工程安全问题的严峻性。因此，除了依靠周密的施工技术设计外，还需要良好的施工安全监测手段作为完善施工技术设计的数据支撑。工程事故的发生通常遵循渐变到突变的发展过程，通过应用适当的监测手段，可以掌握变形发展过程及相关影响指标的演化规律，从而预判施工灾害的前兆特征信息，有效识别灾害险情，提前预警灾害。因此，轨道交通工程施工监测是确保工程安全、预警灾害和透析灾害机理的重要辅助手段。,"然而，在近些年的轨道交通工程建设中，各类施工安全事故频发，并诱发各种次生灾害，严重影响人民生活与经济发展，威胁社会稳定与公共安全。例如,2013年1 月 2 日，南宁在建地铁污水管线迁改工程发生塌方，造成 2 人死亡; 2015年 7 月 26 日，由于万科广场工地南侧基坑支护坍塌导致禅城区季华五路万科广场工地一侧辅道出现塌陷(塌路长度约65米、宽约15米)。事故没有造成人员伤亡。但是造成直接经济损失 205 万;2017年 5 月 11 日 10 时左右，位于福田区绒花路的深圳市轨道交通工程 3 号线三期南延工程 3131 标基坑发生一起土方坍塌事故，造成 3 人死亡,1 人受伤，直接经济损失 345 万元№10。轨道交通工程的安全问题日益凸显，对于轨道交通工程的安全的把控，不单依靠周密的施工技术设计，还需要良好的施工安全监测手段作为完善施工技术设计的数据支撑。一般来说工程事故发生的过程都是从渐变到突变的发展过程，应用适当的监测手段，掌握其变形发展过程及相关影响指标的演化规律, 预判施工灾害前兆特征信息，能有效识别灾害险情，提前预警灾害。因此，轨道交通工程施工监测是确保工程安全、预警灾害和透析灾害机理的重要辅助手段之—【11-15】。",工程,Fiber Optic Sensing in Rail Transit
在桩体水平位移和土体深层水平位移的监测领域，测斜仪是一种常用的仪器，包括滑动式测斜仪和固定式测斜仪等。例如，在使用测斜仪监测桩体位移时，测斜管通常会与围护桩的钢筋笼绑扎固定，并同步放入围护桩内。然后，利用滑动测斜仪监测桩体的变形，并通过对初始值与后续测量值的比较来计算桩体的侧向位移量。然而，测斜仪的使用存在一些不足之处，如易受人为因素的影响，容易发生堵孔和滑槽问题，从而难以保证监测数据的全面性和准确性。,用于桩体水平位移和土体深层水平位移的监测，常用测斜仪如滑动式测斜仪、固定式测斜仪等。例如，在使用测斜仪时监测桩体位移时，将测斜管与围护桩钢筋笼绑扎固定同步放入围护桩内，利用滑动测斜仪监测桩体变形。以初始值与后续测量值计算桩体侧向位移量。然而，测斜仪使用时，存在受人为因素影响大、易堵孔、滑槽等不足，难以保证监测数据的全面性等问题[26-30]。,工程,Fiber Optic Sensing in Rail Transit
尽管光纤传感技术在实验室环境中已展现出巨大的潜力，但其在灾害预警监测领域的应用仍处于初探阶段，尚未完善地解决从实验室到实际工程应用的转化问题。现阶段，光纤传感技术在工程应用中仍面临着效率低下、存活率低和抗干扰能力不足等挑战。因此，有必要开展基于光纤传感的灾害监测技术研究，以应对工程灾害监测的特殊需求。为此，本文专注于轨道交通工程中基坑围护结构和盾构隧道管片结构的变形与破坏监测，采用光纤监测技术进行研究，并通过实际工程案例验证监测技术的有效性和准确性。我们的目标是实现光纤传感技术从实验环境向工程应用场景的成功转化，为保障城市轨道交通工程的健康施工和安全运营提供可靠的技术支持。,然而，光纤传感技术应用于灾害预警的监测技术仍处于探索阶段，未能完美的从实验室环境全面匹配到工程实际应用场景，存在效率低、存活率低、抗干扰能力低等工程应用难题。因而，针对工程灾害监测的特殊环境，需开展基于光纤传感的灾害监测技术研究。为此，本文针对轨道交通工程中最为重要的基坑围护结构和盾构隧道管片结构的变形与破坏开展光纤监测技术研究，并通过实际工程应用验证监测技术的合理性和准确性，以期实现光纤传感技术从实验环境向工程应用场景的突破，为城市轨道交通工程的健康施工和安全运营提供技术支持。,工程,Fiber Optic Sensing in Rail Transit
本技术主要应用于监测桩顶点的竖向沉降、地表沉降、周围建筑物和地下管线的沉降，以及隧道变形等方面。在进行水准测量时，水准仪提供水平视线，并通过带有刻度线的水准尺来测定两点间的高差。通过控制点高程与两点间测量的高差，能够计算出未知点的高程。然而，这种测量方法对技术人员的操作水平和作业环境的可视度水平都有较高的要求。同时，在完成监测工作后，还需要进行现场核算，以确认测量数据的有效性和准确性。,主要用于桩顶点的竖向沉降、地表沉降、周围建筑物和地下管线的沉降以及隧道变形等。在使用水准仪进行水准测量时，水准仪提供水平视线，借助带有刻度线的水准尺，测定两点间的高差，而后根据控制点高程与两点间测量的高差，推算未知点高程。此种测量方法对技术人员的操作水平和作业环境的可视度水平要求较高，并且在监测工作完成后，需现场进行核算，确认测量数据的有效性[3]-35]。,工程,Fiber Optic Sensing in Rail Transit
在自动化监测领域，传统的监测设备包括静力水准仪、测量机器人和激光测距仪等，主要用于表面位移的监测。此外，钻孔测斜仪、多点位移计和滑动测微计等设备被应用于深部位移变形的监测。通过将这些传感设备与专门的数据采集设备及远程传输设备相连，可以实现监测数据的自动化采集和传输，极大地提高了监测效率和数据的实时性。,在自动化监测方面，常规的监测传感设备包括静力水准仪、测量机器人、激光测距仪等表面位移监测设备，钻孔测斜仪、多点位移计及滑动测微计等深部位移变形监测设备。将这些传感设备和专门的采集设备及远程传输设备进行连接，可实现监测数据的自动化采集及传输。,工程,Fiber Optic Sensing in Rail Transit
在监测支护结构的内力时，混凝土支撑的监测通常需要在支撑的内部或者表面安装钢筋计或应变计。在安装过程中，需要将支撑钢筋笼中监测点位的钢筋截断并焊接钢筋计，而混凝土应变计可以随着混凝土一起浇筑。为了计算支撑受力的大小，采用截面平均应力法是一个常见的方法。对于钢支撑来说，其轴力的监测相对简单，只需要将轴力计安装在端部直接监测，或者在表面安装应变传感器即可实现。然而，进一步的探讨表明，支撑轴力的监测具有一定的复杂性和挑战。,通常用来监测支护结构内力，砼支撑监测时需在支撑内部或者表面安装钢筋计或应变计，在安装时需将支撑钢筋笼中监测点位的钢筋截断并焊接钢筋计，混凝土应变计可随混凝土一同浇筑，采用截面平均应力法计算支撑受力大小。钢支撑的轴力监测仅需将轴力计安装端部直接监测，或表面安装应变传感器。然而，该支撑轴力的监测,工程,Fiber Optic Sensing in Rail Transit
静力水准仪主要用于监测隧道沉降以及周边环境对象（如建筑物、桥梁等）的竖向位移。通过连通器原理，多支连通管的储液罐液面始终保持在同一水平面。因此，通过测量不同储液罐的液面高度，可以获得各静力水准仪之间的相对沉降值。然而，由于液体的粘滞性，管路内部的液体需要一定的时间才能达到平衡状态，在此期间内无法进行测量作业。这种技术可以为工程建设提供重要的数据支持，帮助工程师对结构进行更加准确的评估和维护。,主要用于隧道沉降监测以及周边环境对象(建筑、桥梁等)的竖向位移监测。利用连通器原理，多支连通管的储液罐液面始终位于同一水平面，测量不同储液罐的液面高度可得各静力水准仪的相对差异沉降值。然而，液体粘滞性导致管路内部液体需一定时间达到平衡状态，在此期间无法进行测量作业。,工程,Fiber Optic Sensing in Rail Transit
在隧道结构变形监测领域，智能型全站仪被广泛采用，其主要功能包括自动搜索、识别、跟踪、精确聚焦、观测和记录。其核心技术是通过摄像机获取目标影像，分析和匹配获取特征点，然后计算目标的三维数据。然而，作为一种捕捉型测量机器人，智能型全站仪对测量环境具有较高的要求，其测量精度容易受到环境、气象以及计算模型等多个因素的影响[46-50]。因此，进一步提高其测量精度和鲁棒性对于该技术的发展和应用具有重要意义。,主要用于隧道结构变形监测中，可自动搜索、识别、跟踪、精确聚焦、观测、记录等的智能型全站仪。其核心技术为摄像机获取目标影像，分析和匹配获取特征点后计算目标的三维数据。然而，其为捕捉型测量机器人，对测量环境要求较为严格，其测量精度易受环境、气象以及计算模型等因素影响[46-50]。,工程,Fiber Optic Sensing in Rail Transit
在地质测量和结构变形监测领域，GPS工作站是一种关键的技术手段，主要用于检测和监控地面、建筑物等结构的变形情况。基于卫星定位技术的GPS工作站，能够提供高精度的三维坐标信息，从而实现对结构变形的实时监测和预警。通过设置合理的GPS监测网，并对监测数据进行实时处理和分析，能够建立结构变形的三维动态模型，实现结构工程的动态管理、分析和预测。然而，GPS监测技术也存在一定的局限性，例如在雷雨等恶劣天气条件下，GPS信号受到干扰，测量精度相对较低，不适合进行监测作业。因此，选择合适的监测技术和方案，对于结构变形监测的准确性和可靠性具有重要的影响。,"主要用于地面、建筑物等结构的变形监测。GPS 工作站是基于卫星定位技术的一种结构变形位移监测技术。设置合理的 GPS 监测网数据监测、处理分析工作，具体为预设基站进行坐标定位,GPS 监测坐标随基坑变形同步变化，利用其动态监测数据建立基坑位移的三维动态模型，实现基坑工程的动态管理、分析和预测[56-60]。然而, GPS 监测测量精度相对较低，不适用雷雨等天气下的监测作业。",工程,Fiber Optic Sensing in Rail Transit
岩土工程领域的研究人员仍在不断探索更为有效的监测方法。光纤传感技术凭借其独特的优势，能够克服传统监测技术的一些局限性，主要表现如下：1) 集传感和传输于一体，能够与自动化设备融合，实现基坑和隧道的远程自动化、长期实时监测；2) 利用波长传感信息对传感器进行自我校正，不易受内部因素、监测系统等因素的影响，传感信息稳定可靠；3) 光导纤维属于非金属、绝缘材料，通过光信号进行数据传输，具有强大的抗外界干扰能力和高耐久性；4) 光纤传感器体积小，铺设安装方便，对被监测物体的影响小，测量结果较为准确。基于以上优点，光纤监测技术正在广泛应用于岩土工程的监测领域[61-71]。,岩土工程相关研究人员仍在努力地寻找更为有效的监测手段，而光纤传感技术可以克服常规监测技术的一些缺点，主要体现在以下几个方面:1)集传感和传输于一体，可融合自动化设备实现基坑和隧道的远程自动化、长期化实时监测;2)使用波长传感信息对传感器进行自我校核，不易内部因素、监测系统等因素的影响，传感信息稳定;4)光导纤维属于非金属、绝缘材料，通过光信号进行数据传输，抵抗外界干扰能力强，耐久性高;5)光纤类传感器体积，铺设安装与监测物体内时，对监测物体影响小，测量结果较为准确。基于上述优点，光纤监测技术正在如火如荼地应用到岩土工程的监测当中[61-71]。,工程,Fiber Optic Sensing in Rail Transit
在基坑工程中围护结构变形监测研究方面，虽然取得了一定的进展，并且在一定程度上弥补了传统监测方法的局限性，验证了光纤传感监测技术的适用性，但是当前的研究仍然存在一些不足。主要问题在于，现有的光纤传感技术主要适用于常规桩体结构类型，而在涉及腰梁结构的桩体深层水平位移监测中，其应用受到限制。此外，监测理论基础还不够完善，尤其是在支撑受力监测方面，缺乏针对性的布设方法。因此，有必要进一步研究基于光纤传感技术的基坑围护结构变形监测，特别是在特殊桩体结构的监测布设方法、支撑理论模型以及传感器布设保护方法等方面，进行深入探讨和创新，以提升监测的准确性和实用性。,上述针对基坑工程中围护结构变形监测的研究，取得了一定的进展，弥补了传统监测精度不足、测点离散的缺点，验证了光纤传感监测技术的适用性，然而，现阶段的光纤传感技术在基坑围护结构变形监测应用时，仅对常规桩体结构类型适用，在含有腰梁结构下的桩体深层水平位移监测中无法使用;缺乏监测理论依据，支撑受力监测时未能针对性的布设方法。为此，对于基于光纤传感技术的基坑围护结构变形监测技术的仍需进一步研究，主要体现在特殊桩体结构的布设方法、支撑理论模型以及传感器布设保护方法。,工程,Fiber Optic Sensing in Rail Transit
光纤传感技术在盾构隧道管片结构变形监测中的应用，有效解决了传统监测方法的缺陷，如耗时耗力和高环境质量要求，显著提高了监测作业的效率。然而，当前的盾构隧道管片结构变形监测大多数情况下仅限于隧道的运营期，并且基于光纤传感技术的管片结构变形监测方法需要满足特定的假设条件，只能计算出某一或两种变形引起的管片位移，这与实际情况存在差异。,光纤传感技术运用与盾构隧道管片结构变形监测中时，解决了传统监测耗时耗力、对环境质量要求高等间题，极大的提高了监测作业效率。然而，目前的盾构隧道管片结构变形监测多对隧道运营期进行监测，且基于光纤传感技术的管片结构变形监测技术均需满足一定假设条件，只能计算某一两种变形引起的管片位移，与现实情况,工程,Fiber Optic Sensing in Rail Transit
