input,output,field,paper_name
"A comprehensive assessment of clinical context and professional judgment was undertaken through a questionnaire survey, incorporating the Pieper-Zulkowski Pressure Ulcer Knowledge Test (PZ-PUKT), the Attitude towards Pressure Ulcer Prevention instrument (APuP), and the Nurses' Knowledge Scale of MDRPI. This multifaceted approach aimed to evaluate the level of knowledge and attitude amongst ICU nurses regarding Pressure Injury (PI) and Medical Device-Related Pressure Injury (MDRPI) prevention. Furthermore, Focus Group Interviews with key informants were conducted to provide an in-depth description and analysis of the current practice status of MDRPI in Intensive Care Units (ICUs), thereby facilitating a nuanced understanding of the existing protocols and potential areas for improvement.","(1) Clinical context and professional judgement. A questionnaire survey using the Pieper-Zulkowski Pressure Ulcer Knowledge Test (PZ-PUKT), Attitude towards Pressure Ulcer Prevention instrument (APuP) and the Nurses' Knowledge Scale of MDRPI were conducted to evaluate the level of PI/MDRPI knowledge and attitude of ICU nurses. Focus Group Interview of key informants was also implemented to describe and analyze the current practice status of MDRPI in ICUs.",医学,Pressure Injury Prevention in Critical Care
"This study undertook a comprehensive examination of the nursing staff's knowledge and attitudes towards Multidrug-Resistant Pseudomonas Infections (MDRPI), as well as the current practices and protocols in place for managing MDRPI in Intensive Care Units (ICUs). The research systematically reviewed, evaluated, and synthesized existing evidence related to the prevention and management of MDRPI, with the goal of developing a tailored program for MDRPI prevention and management in ICUs. Furthermore, the study aimed to describe the process of integrating this evidence into clinical practice and assess its feasibility and efficacy. Additionally, the research explored the therapeutic potential of a thermo-sensitive hydrogel dressing containing exosomes derived from mesenchymal stem cells (MSCs) in the context of MDRPI, utilizing both cell and animal models to investigate its effects.","This study aimed at exploring the level of knowledge and attitude of nursing staff towards MDRPI and the current practice status of MDRPI in the ICUs, systematically reviewing, evaluating and synthesizing relevant evidence related to MDRPI prevention and management, developing the program of MDRPI prevention and management in the ICUs, describing process of gradual introduction of this evidence into clinical situations, and evaluating its feasibility and effectiveness. It also aimed at exploring the effect of a thermo-sensitive hydrogel dressing containing mesenchymal stem cells (MSCs) derived exosomes by constructing cell model and animal model of MDRPI.",医学,Pressure Injury Prevention in Critical Care
"A comprehensive review was conducted, encompassing a total of 9 evidence-based clinical practice guidelines (CPGs), 2 evidence summaries, and 8 systematic reviews. The overall quality of the included CPGs was deemed satisfactory, with the highest standardized scores attained in the domains of ""scope and purpose"" and ""rigour of development"", whereas the lowest scores were observed in the domain of ""applicability"". Furthermore, the quality of the evidence summaries and systematic reviews was uniformly rated as above medium. The primary components of the evidence were found to comprise several key elements, including risk assessment, the selection, application, and removal of medical devices, the selection and application of preventive dressings, preventive skin care strategies, the utilization of support surfaces and re-positioning techniques, nutritional support, as well as education and supervision. These elements collectively contribute to a robust framework for guiding clinical practice and decision-making.","(2) A total of 9 evidence-based clinical practice guideline (CPG), 2 evidence summaries and 8 systematic reviews were included. The overall quality of the CPGs was good, with the highest standardized score in the field of ""scope and purpose"" and ""rigour of development"", and the lowest standardized score in the field of ""applicability"". The quality of evidence summaries and systematic reviews were all above medium. The main elements of the evidence mainly include risk assessment; selection, application and removal of medical devices; selection and application of preventive dressings; preventive skin care; support surfaces and re-positioning; nutritional support; education and supervision.",医学,Pressure Injury Prevention in Critical Care
"The phase-transition temperature of a normal saline solution containing 220 mg/mL F127 and 100 mg/mL F68 was determined to be 36.1 ℃, which is closest to the body surface temperature and exhibits no cytotoxicity. Furthermore, it was found that 100 µg/mL exosomes can enhance the proliferation and migration of C2C12 cells, while also exhibiting resistance to oxidative stress induced by H2O2. The results of in vivo experiments demonstrate that the application of an exosome hydrogel wound dressing can effectively reduce the wound area, accelerate the wound healing process, and upregulate the expression of key growth factors and proteins, including HGF, TGF-β, PDGF, and MMP9, in the wound tissue.","(5) The phase-transition temperature of normal saline with 220 mg/mL F127 and 100 mg/mL F68 was 36.1 ℃ ,most closest to the body surface temperature, and without cytotoxicity. In addition, 100µg/mL exosomes can promote the proliferation and migration of C2C12 cells and resist the oxidative stress induced by H2O2. The results of animal experiments show that the application of exosome hydrogel wound dressing can reduce the wound area, accelerate wound healing, and improve the expression of HGF、TGF- β、PDGF and MMP9 in the wound tissue.",医学,Pressure Injury Prevention in Critical Care
"A notable reduction in the incidence of Multidrug-Resistant Pseudomonas Infections (MDRPI) was observed in the intervention group, with a significantly lower rate of 1.83% compared to 7.47% in the control group, following the implementation of an evidence-based practice program. Furthermore, the intervention group demonstrated substantially higher standardized scores in the PK-PUZT (80.25%), APuP (83.08%), and Nurses' Knowledge Scale of MDRPI (90.15%) assessments, indicating a marked improvement in nurses' knowledge and competencies. The overall implementation rate of MDRPI prevention and management programs among nurses was remarkably high at 95.14%. Additionally, family members of patients in both groups reported a high level of satisfaction with the care provided during the practice period, underscoring the effectiveness of the intervention in enhancing patient and family-centered care.","(4) The incidence of MDRPI in the intervention group (1.83%) was significantly lower than that in the control group (7.47%) after clinical application of the evidence-based practice program; and the standardized scores of PK-PUZT(80.25%), APuP (83.08%) and Nurses' Knowledge Scale of MDRPI (90.15%) of nurses were significantly higher in the intervention group than those in the control group; the overall implementation rate of nurses for MDRPI prevention and management programs was 95.14%; the satisfaction of family members of both groups was at a high level during the practice period.",医学,Pressure Injury Prevention in Critical Care
"The Cronbach's α values for the PZ-PUKT, APuP, and Nurses' Knowledge Scale of MDRPI were found to be 0.932, 0.899, and 0.760, respectively, indicating satisfactory internal consistency. Additionally, the content validity of these scales was deemed acceptable, with Item-Content Validity Index (I-CVI) values ranging from 0.83 to 1.00 and Scale-Content Validity Index (S-CVI) values ranging from 0.945 to 0.957. However, the average standardized scores of 306 ICU nurses on the PK-PUZT (69.42%), APuP (3.86%), and Nurses' Knowledge Scale of MDRPI (74.52%) were relatively low, suggesting a need for improvement. A Focus Group Interview with 15 experts identified four key themes related to MDRPI: the high incidence of MDRPI, inadequate attention to the issue, a lack of knowledge among nurses, and a relative insufficiency of nursing staff. These findings highlight the importance of addressing the gaps in knowledge and practice to effectively manage MDRPI in ICU settings.","(1) Cronbach's α values of PZ-PUKT, APuP and Nurses' Knowledge Scale of MDRPI were 0.932,0.899 and 0.760, 0.899 and 0.760. The validity of content was also acceptable (I-CVI =0.83-1.00, S-CVI=0.945-0.957). The average standardized score of 306 ICU nurses in PK-PUZT(69.42%), APuP(3.86%) and Nurses' Knowledge Scale of MDRPI (74.52%) were relatively low. The results with Focus Group Interview of 15 experts extracted four related topics: high incidence of MDRPI, inadequate attention, lack of knowledge and relatively insufficient nurses.",医学,Pressure Injury Prevention in Critical Care
"The rapid advancement of electronic medical devices and the increasing application of artificial intelligence technology have led to the widespread adoption of various medical instruments in modern healthcare institutions, playing an increasingly crucial role in the diagnosis and treatment of diseases. However, many medical devices, due to the need for disease monitoring or treatment, come into prolonged contact with patients' skin or mucous membranes, resulting in varying degrees of pressure or shear force that can cause tissue damage. This issue has gradually drawn the attention of medical professionals, highlighting the need for careful consideration and mitigation strategies to minimize the risk of device-related injuries.","随着电子医疗设备的不断发展及人工智能技术的逐步应用，越来越多的医疗器械在现代医疗机构中得以广泛应用，并在疾病诊疗过程中发挥日益重要的作用。然而, 很多医疗器械因疾病监测或治疗需要，与患者的皮肤或粘膜长时间接触，从而产生不同程度的压力或剪切力进而造成损伤。这一问题亦逐渐引起医护人员的关注。",医学,Pressure Injury Prevention in Critical Care
重症患者由于常伴有意识障碍、长期卧床、特殊药物使用、营养不良以及血流动力学不稳定等问题，自身就属于压力性损伤的高风险人群。另外，在重症患者的治疗过程中，使用的医疗器械种类更多，使用时间也更长，因此更容易发生医疗器械相关的压力性损伤（MDRPI）。研究结果显示，在重症监护病房（Intensive Care Unit，ICU）中，近三分之一的皮肤压力性损伤是由医疗器械使用引起的。这表明，对于ICU患者来说，MDRPI的预防和管理问题尤为突出，亟需关注和改进。,"重症患者常有意识障碍、长期卧床、使用特殊药物、营养不良以及血流动力学不稳定等问题，本身就是压力性损伤的高危人群，且重症患者治疗过程中使用医疗器械种类更多、时间更长，故更易发生 MDRPI[73]。研究表明，重症监护病房(Intensive Care Unit, ICU)内近 1/3 的皮肤压力性损伤因使用医疗器械而导致[10,可见 ICU 患者 MDRPI 的预防与管理问题尤为突出。",医学,Pressure Injury Prevention in Critical Care
目前，我国大多数医疗机构尚未对重症患者的医疗设备相关压力性损伤（MDRPI）的预防和管理给予充分的重视。尽管部分医院的重症医学科开始尝试推行了一些预防措施，但不同医院的做法不一致，存在争议和分歧，许多护理措施仅基于临床经验或直接借鉴骨隆突处压力性损伤的预防和管理模式。已有研究表明，重症患者MDRPI的预防和管理应进行制度化和规范化，应尽快建立标准化的预防方案，以使MDRPI的预防措施更加科学有效，从而降低MDRPI的发生率。为此，构建一个标准化、科学、有效的MDRPI预防和管理框架对于降低重症患者MDRPI的风险至关重要。,"目前，我国大多数医疗机构对于重症患者 MDRPI 的预防与管理并未给予足够的重视。虽然一些医院的重症医学科开始尝试性地推进了一些措施，但是各家医院的做法不一，存在争议与分歧，且许多护理措施仅仅源于临床经验或照搬骨隆突处压力性损伤的预防和管理模式。已有研究指出，重症患者 MDRPI 的预防及管理应制度化、规范化，应尽快构建标准的方案，使 MDRPI 的预防措施更加科学有效，以降低 MDRPI 发生率[11,12]。",医学,Pressure Injury Prevention in Critical Care
"A systematic review conducted by Demarre (2013) analyzed articles published between 2001 and 2013 on the prevention and treatment costs of pressure injuries (PIs). The review revealed that the daily cost of treating pressure injuries per patient ranged from €1.7 to €470.5, while the cost of preventing pressure injuries ranged from €2.6 to €87.6. Another study found that pressure injuries resulted in an average extension of hospital stay by 5-8 days. This prolonged hospital stay can lead to increased risk of hospital-acquired infections and life-threatening complications, ultimately resulting in higher healthcare expenditures. Although the current data on the nursing costs and extended hospital stays due to medical device-related pressure injuries (MDRPIs) is limited, it is evident that the consequences of MDRPIs are becoming increasingly severe, impacting patients' quality of life and increasing their medical and nursing costs. This is attributed to the rising usage of medical devices and the prolonged duration of their use. Furthermore, with the growing awareness of patient rights, the occurrence of MDRPIs can also exacerbate conflicts between healthcare providers and patients, as patients and their families often question the quality of care and the responsiveness of nurses when skin breakdown or mucosal damage occurs. This, in turn, can create psychological pressure on healthcare workers.","Demarre[3] 对 2001 年至 2013 年期间发表的所有关于 PI 预防和治疗费用的文章进行了系统评价，发现每名患者每天治疗压力性损伤的费用在 1.7 欧元至 470.5 欧元之间, 而预防压力性损伤的费用在 2.6 欧元至 87.6 欧元之间。另有研究表明，压力性损伤使患者的住院时间平均延长 5~8 天[4]。住院时间的延长可能进一步导致医院感染和致命的并发症，并增加医疗费用。目前，对于 MDRPI 的护理费用和延长住院时间的比例尚不清楚，但随着医疗器械的使用数量的目益增加，以及平均使用时间的逐渐延长51, MDRPI 导致的后果亦日趋严重，并在更大程度上影响患者的生活质量，增加患者的医疗和护理成本11。此外，随着患者在医疗过程中维权意识的增强,MDRPI 的发生亦是护患矛盾激化的潜在因素，患者及其家属常常因皮肤破溃或粘膜损伤，而质疑护理服务水平及护士的责任心[0],这也给医护工作者造成了心理压力。",医学,Pressure Injury Prevention in Critical Care
由于患者自身存在营养不良、高龄和免疫功能低下等问题，容易导致伤口长期不能愈合，同时又无法承受手术治疗。此外，为了满足疾病治疗的需要，医疗器械常常无法及时撤除，这导致局部压力或剪切力不能及时缓解，从而极易发生耐药细菌相关压力性皮肤损伤（MDRPI）。因此，选择合适的伤口敷料成为预防和护理MDRPI的关键措施。,患者，患者本身就存在营养状态差、高龄、免疫力低下等状况，易导致伤口长期迁延不愈却又无法耐受手术治疗;加之因疾病治疗的需要往往不能及时撤除医疗器械，导致其所产生的压力或剪切力不能及时解除，极易发生 MDRPI。因此，伤口敷料成为 MDRPI 预防与护理的关键措施。,医学,Pressure Injury Prevention in Critical Care
循证护理实践的进展与开展原始研究有着密切的联系。关于MDRPI敷料的应用问题，由于国内外研究证据的不足，我们可能无法直接通过循证的方法来找到解决方案，即使引入现有的证据，也可能会引发新的疑问。因此，对于这些尚未解决的问题，我们应该通过开展原始研究来产生新的证据，从而推动循证护理实践进入新的“证据生成”阶段。,"循证护理实践的过程与开展原创性研究密切关联。关于 MDRPI 敷料的应用问题, 限于国内外研究证据不足，可能无法用循证的方法来解决，或引入现有证据后亦可能产生新的困扰，因此对于这些尚待解决的问题，应通过开展原始研究而产生新的证据, 从而推动循证护理实践进入新一轮的""证据生成""。",医学,Pressure Injury Prevention in Critical Care
循证实践对传统的、经验为基础的护理模式进行了革新，强调运用现有最优质的证据来推动临床实践的变革。在重症患者多重耐药菌病原体感染（MDRPI）预防和管理领域，虽然国外的研究成果较为丰富，但国内相关文献相对匮乏，且缺乏深入、系统的研究。此外，将成熟的国际指南本土化以适应我国国情也仍是一个亟待解决的问题。为了解决这些问题，一方面需要通过科学的研究方法获取证据，并对其进行严格、谨慎的评价和分析，以找到真正适用于我国医疗机构预防重症患者MDRPI的最佳证据，并将这些抽象的证据转化为临床护理人员能够操作的、具体明确的实施方案。另一方面，还需要充分考虑医护人员的专业判断和患者的意愿，并关注循证实践过程中可能存在的障碍因素，促使ICU护士能够接受并积极推动变革，而避免疑虑或固守传统。因此，按照循证护理实践的模式，参照制定临床实践指南的方法和原则，开发出符合我国国情的重症患者MDRPI预防和管理方案，可能是解决这些问题的有效方法。,循证实践打破了传统的、基于经验的护理模式，重视应用现有的最佳证据，是促进临床实践变革的重要手段。目前，关于重症患者 MDRPI 预防与管理措施的证据多来自国外，国内文献相对较少，且缺乏全面、深入的探索;而国外成熟的指南如何本土化，成为符合我国国情的成熟方案也是尚待解决的问题。为解决上述问题，一方面要通过科学严谨的方法获取证据，并对其进行严格审慎地评价与分析，找到真正适用于我国医疗机构预防重症患者 MDRPI 的最佳证据，并使抽象的证据转化为临床护理人员可操作的、具体明确的实施方案;另一方面，要充分结合医护人员的专业判断和患者的意愿，考虑循证实践过程中可能存在的障碍因素，让 ICU 护士能够接受并主动推进变革，而不是心存疑虑或墨守成规。因此，按照循证护理实践的模式，参照构建临床实践指南的方法和原则，制定出符合我国国情的重症患者 MDRPI 预防和管理方案，很可能是解决上述问题的行之有效的方法。,医学,Pressure Injury Prevention in Critical Care
"The existing literature on MDRPI preventive dressings reveals a notable dearth of evidence. Although foam dressings and hydrocolloid dressings are conditionally recommended for MDRPI prevention due to their soft material and thickness, which facilitates pressure reduction [1,13], the guidelines' A-level recommendation for MDRPI preventive dressings is limited to ""suggesting the use of preventive dressings to prevent MDRPI [1]"" and ""currently, there is no conclusive clinical evidence to indicate that one dressing is more effective than others [1]"". Furthermore, there is a lack of targeted evidence regarding the handling measures during and after the occurrence of injuries, with most treatments following traditional pressure injury care protocols. Even for traditional pressure injuries, the current evidence is unclear. A 2017 Cochrane systematic review [5] included 51 studies and conducted a systematic review and network meta-analysis of 21 different interventions (13 dressings, 6 local medications, and 2 adjuvant therapies) for pressure injuries, revealing that the included dressings and local medications had unclear effects on pressure injuries, and it was even impossible to confirm whether these dressings or medications were superior to saline gauze.","目前已发表的文献中，关于 MDRPI 预防敷料的相关证据是明显不足的。虽然泡沫敷料和水胶体敷料因材质较软且具有一定厚度利于减压，而被酌情推荐用于 MDRPI 的预防[1]13],但指南中对于 MDRPI 预防性敷料的 A 级推荐意见是""建议使用预防性敷料来预防 MDRPI [1]""和""目前没有确凿的临床证据表明一种敷料比其他敷料更有效[1]""。 另外，对于损伤发生过程中与发生之后的处理措施，尚无针对性的证据，大多按照传统压力性损伤的护理方案进行处理。而即便是对于传统压伤的处理措施，目前的证据也是不明确的。2017年的一篇 Cochrane 系统综述[[5]纳入了 51 项研究，对 21 种不同的措施(13 种敷料、6 种局部药物和 2 种补充疗法)对于压力性损伤的作用效果进行了系统综述和网状 meta 分析，结果显示所纳入的敷料和局部药物对压力性损伤的作用均不明确，甚至无法确认这些敷料或药物是否优于盐水纱布。",医学,Pressure Injury Prevention in Critical Care
目前的敷料，包括泡沫敷料、水胶体敷料和银离子敷料，主要是为伤口提供一个更有利的修复环境。然而，当患者自身组织修复功能受损时，这些敷料的作用便显得有限。因此，开展原始研究，开发具有再生活性的新型敷料至关重要。这种新型敷料能够为伤口修复提供人体组织内部的再生动力，从而有望成为解决多重耐药菌感染预防与护理问题（MDRPI）的关键。通过这种创新，将有可能实现皮肤和粘膜在持续受压的情况下逆转受损状态，激发自身再生能力，进而促进组织修复。,因为现有敷料如泡沫敷料、水胶体敷料、银离子敷料等的作用机制均是给伤口提供一个更为良好的修复环境，在患者自身组织修复功能受损的情况下则效用十分有限。 如果能够通过开展原始研究，研发出本身具有再生活性的新型敷料，给伤口修复提供人体组织内部的再生动力，将有望成为解决 MDRPI 预防与护理问题的关键所在，以实现皮肤/粘膜在持续受压的情况下逆转受损状态并激发自身再生能力而促进组织修复。,医学,Pressure Injury Prevention in Critical Care
医疗器械相关的压力性损伤（Medical Device Related Pressure Injury，MDRPI）指的是在使用与诊断或治疗相关的医疗器械时导致的压力性损伤，其特征是损伤区域的形状通常与所使用的医疗器械的形状相似或一致。这种类型的损伤与传统的压力性损伤相比，其易发部位不同，通常发生在与医疗器械直接接触的皮肤或黏膜区域上。因此，了解和识别MDRPI的特征对于预防和治疗具有重要意义。,"医疗器械相关压力性损伤(medical device related pressure injury, MDRPI)是指因使用诊断或治疗所用的医疗器械而导致的压力性损伤，其损伤部位的形状多与医疗器械形状接近或一致[1]。MDRPI 的好发部位与传统的压力性损伤有所不同，常发生于与医疗器械相接触的皮肤或黏膜处。",医学,Pressure Injury Prevention in Critical Care
